titolo,sorgente,pubDate,ISODate,URL
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d9101bcd211d2b4d5aa9d4a2db2b649d29.e38Oc3ePax0Tay0La3aNaNuNa3qRe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d9101bcd211d2b4d5aa9d4a2db2b649d29.e38Oc3ePax0Tay0La3aNaNuNa3qRe0&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d9101bcd211d2b4d5aa9d4a2db2b649d29.e38Oc3ePax0Tay0La3aNaNuNa3qRe0&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d9101bcd211d2b4d5aa9d4a2db2b649d29.e38Oc3ePax0Tay0La3aNaNuNa3qRe0&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d914b4bcfad3314114a25cac0955830e60.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d914b4bcfad3314114a25cac0955830e60.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d914b4bcfad3314114a25cac0955830e60.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d914b4bcfad3314114a25cac0955830e60.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7ad5ebaae43834c90907399aa5c41dcdf.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7ad5ebaae43834c90907399aa5c41dcdf.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7ad5ebaae43834c90907399aa5c41dcdf.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7ad5ebaae43834c90907399aa5c41dcdf.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d98d0bee02cea947ef8135de55e8f08968.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d98d0bee02cea947ef8135de55e8f08968.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202317024
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d98d0bee02cea947ef8135de55e8f08968.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202315133
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010430d98d0bee02cea947ef8135de55e8f08968.e38Oc3ePax0Tay0La3aNaNuNa3mNe0&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d787440f0794b34a3dacd1c2bdad24ff92.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d787440f0794b34a3dacd1c2bdad24ff92.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d787440f0794b34a3dacd1c2bdad24ff92.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d787440f0794b34a3dacd1c2bdad24ff92.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7b3b922b0305d4fb19fafb3726fd20d6a.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7b3b922b0305d4fb19fafb3726fd20d6a.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7b3b922b0305d4fb19fafb3726fd20d6a.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d7b3b922b0305d4fb19fafb3726fd20d6a.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202316732
[Dipartimento delle autonomie locali] Avviso,Dipartimento delle autonomie locali,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d73db0d5efad6744e08b7689e55bbb0cd4.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315473
[Archivio] ATTO DI INTERPELLO PER L'AFFIDAMENTO DELLA VERIFICA DI CONFORMITA' DELL'INTERVENTO: PORTALE DI ACCESSO AI SERVIZI E SOVRACUP,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d73db0d5efad6744e08b7689e55bbb0cd4.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202315133
[Archivio] Avviso - Chiusura del Servizio del Genio Civile e dell'UREGA di Ragusa in data 5 gennaio 2021,Archivio,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d73db0d5efad6744e08b7689e55bbb0cd4.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202317024
[Dipartimento della pesca mediterranea] AVVISO Elenchi Provvisori - Aiuti economici imprese di pesca ed equipaggi e imprese dell'acquacoltura siciliana per la crisi da COVID-19,Dipartimento della pesca mediterranea,"Thu, 31 Dec 2020 02:00:00 +0100",20201231,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d73db0d5efad6744e08b7689e55bbb0cd4.e38Oc3ePbx4Kc40LaxmSc30Rb3aOe0&amp;stepNews=det_news&amp;idNews=202316732
